movie_id,title,year,bag_of_words
93,Vampire in Brooklyn,1995,comedy horror romance 
94,Beautiful Girls,1996,comedy drama romance natalieportman umathurman
95,Broken Arrow,1996,action adventure thriller johntravolta military nuclearbomb stealthaircraft
96,In the Bleak Midwinter,1995,comedy drama 
97,"Hate (Haine, La)",1995,crime drama angry blackandwhite bleak confrontational cynical disturbing french ghetto gritty paris racism realistic socialcommentary
98,Shopping,1994,action thriller 
99,Heidi Fleiss: Hollywood Madam,1995,documentary 
100,City Hall,1996,drama thriller 
614,Loaded,1994,drama thriller 
101,Bottle Rocket,1996,adventure comedy crime romance wesanderson off-beatcomedy quirky
102,Mr. Wrong,1996,comedy 
103,Unforgettable,1996,mystery sci-fi thriller 
104,Happy Gilmore,1996,comedy adamsandler bobbarker comedy golf sports
105,"Bridges of Madison County, The",1995,drama romance merylstreep affair
106,Nobody Loves Me (Keiner liebt mich),1994,comedy drama 
107,Muppet Treasure Island,1996,adventure children comedy musical timcurry muppets pirates treasure
108,Catwalk,1996,documentary 
109,Headless Body in Topless Bar,1995,comedy drama thriller 
110,Braveheart,1995,action drama war biography history medieval melgibson nudity(topless) oscar(bestcinematography) oscar(bestdirecting) oscar(bestpicture) scotland action basedonatruestory beautifulscenery british classic drama england epic freedom historical historicallyinaccurate imdbtop250 independence inspirational long medieval melgibson overrated revenge revolution scotland scottishindependence swordfight violent war
111,Taxi Driver,1976,crime drama thriller classic cybillshepherd goldenpalm harveykeitel jodiefoster martinscorsese newyorkcity robertdeniro alienation anti-hero assassination atmospheric boring classic cultfilm dark disturbing drugdealer forceful grim ideology illegalprostitution imdbtop250 insanity loneliness loner masterpiece mentalillness neo-noir overrated paranoid prostitution psychology psychopath psychopaths robertdeniro serialkiller socialcommentary vigilante vigilantism visceral
112,Rumble in the Bronx (Hont faan kui),1995,action adventure comedy crime jackiechan fightscenes kungfu martialarts
113,Before and After,1996,drama mystery 
114,Margaret's Museum,1995,drama 
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,comedy 
116,Anne Frank Remembered,1995,documentary holocaust truestory
117,"Young Poisoner's Handbook, The",1995,crime drama 
118,If Lucy Fell,1996,comedy romance 
119,"Steal Big, Steal Little",1995,comedy 
120,Race the Sun,1996,adventure comedy drama 
121,"Boys of St. Vincent, The",1992,drama childabuse
122,Boomerang,1992,comedy romance 
123,Chungking Express (Chung Hing sam lam),1994,drama mystery romance criterion hongkong dreamlike goodmusic loneliness lyrical melancholy reflective stylized
124,"Star Maker, The (Uomo delle stelle, L')",1995,drama 
125,Flirting With Disaster,1996,comedy 
126,"NeverEnding Story III, The",1994,adventure children fantasy 
127,"Silences of the Palace, The (Saimt el Qusur)",1994,drama 
128,Jupiter's Wife,1994,documentary 
129,Pie in the Sky,1996,comedy romance 
130,Angela,1995,drama 
131,Frankie Starlight,1995,drama romance 
132,Jade,1995,thriller 
133,Nueba Yol,1995,comedy drama 
134,Sonic Outlaws,1995,documentary 
135,Down Periscope,1996,comedy submarine
136,From the Journals of Jean Seberg,1995,documentary 
137,Man of the Year,1995,documentary 
138,"Neon Bible, The",1995,drama 
139,Target,1995,action drama 
140,Up Close and Personal,1996,drama romance 
141,"Birdcage, The",1996,comedy gaystereotypes genehackman robinwilliams comedy crossdressing dragqueens gay queer remake
142,Shadows (Cienie),1988,drama 
143,Gospa,1995,drama 
144,"Brothers McMullen, The",1995,comedy 
145,Bad Boys,1995,action comedy crime drama thriller michaelbay willsmith action
146,"Amazing Panda Adventure, The",1995,adventure children 
147,"Basketball Diaries, The",1995,drama leonardodicaprio markwahlberg newyorkcity addiction basedonabook basedonatruestory drugs escape heroin intense truestory
148,"Awfully Big Adventure, An",1995,drama 
149,Amateur,1994,crime drama thriller 
150,Apollo 13,1995,adventure drama imax garysinise history kevinbacon nasa oscarnominee:bestpicture tomhanks astronauts basedonabook basedonatruestory catastrophe disaster drama dramatic engineering historical moon space spaceprogram stranded suspense tense truestory
151,Rob Roy,1995,action drama romance war 18thcentury scotland highlands swordfight
152,"Addiction, The",1995,drama horror 
153,Batman Forever,1995,action adventure comedy crime batman dccomics jimcarrey joelschumacher nicolekidman tommyleejones valkilmer comicbook design franchise rubbernipples sequel super-hero superhero
154,Beauty of the Day (Belle de jour),1967,drama 
155,Beyond Rangoon,1995,adventure drama war 
156,Blue in the Face,1995,comedy drama 
157,Canadian Bacon,1995,comedy war politics
158,Casper,1995,adventure children christinaricci family ghost ghosts
159,Clockers,1995,crime drama mystery 
160,Congo,1995,action adventure mystery sci-fi 
161,Crimson Tide,1995,drama thriller war denzelwashington genehackman mutiny nuclear submarine tense war
162,Crumb,1994,documentary artistmind documentary
163,Desperado,1995,action romance western antoniobanderas robertrodriguez salmahayek stevebuscemi action organizedcrime romance violence
164,Devil in a Blue Dress,1995,crime film-noir mystery thriller 
165,Die Hard: With a Vengeance,1995,action crime thriller brucewillis jeremyirons newyorkcity samuell.jackson action actionpacked alwayswatchitwhenit'sontv brucewillis heist lonehero plotpoint:solvingriddles/puzzles predictable terrorism thriller violent
166,"Doom Generation, The",1995,comedy crime drama 
167,Feast of July,1995,drama 
168,First Knight,1995,action drama romance seanconnery
169,Free Willy 2: The Adventure Home,1995,adventure children drama family
170,Hackers,1995,action adventure crime thriller angelinajolie awesomesoundtrack campy cheesy computers cultfilm cyberpunk geek geeks hacker hackers hacking highschool inaccurate internet videogames
171,Jeffrey,1995,comedy drama gay
172,Johnny Mnemonic,1995,action sci-fi thriller henryrollins keanureeves sci-fi williamgibson cyberpunk dystopia future futuristic hackers memory technology
173,Judge Dredd,1995,action crime sci-fi robschneider sylvesterstallone cheesylines comicbook dystopia future futuristic police policecorruption sci-fi
174,Jury Duty,1995,comedy 
175,Kids,1995,drama aids newyorkcity nudity(fullfrontal) authentic controversial drugs indecent teen teenagers youthgonewild
176,Living in Oblivion,1995,comedy stevebuscemi indie meta-indie
177,Lord of Illusions,1995,horror 
178,Love & Human Remains,1993,comedy drama 
179,Mad Love,1995,drama romance 
180,Mallrats,1995,comedy romance 1990s jayandsilentbob kevinsmith crudehumor gooddialogue viewaskew
181,Mighty Morphin Power Rangers: The Movie,1995,action children 
182,Moonlight and Valentino,1995,drama romance 
183,Mute Witness,1994,comedy horror thriller 
184,Nadja,1994,drama 
185,"Net, The",1995,action crime thriller sandrabullock computers cyber-intimidation hackers hacking internet simplistic unrealistic
186,Nine Months,1995,comedy romance robinwilliams hughgrant
187,Party Girl,1995,comedy 
188,"Prophecy, The",1995,fantasy horror mystery christianity christopherwalken religion
189,Reckless,1995,comedy fantasy 
190,Safe,1995,thriller 
191,"Scarlet Letter, The",1995,drama romance 
192,The Show,1995,documentary 
193,Showgirls,1995,drama lasvegas nudity(fullfrontal) boobs campy dull overacting raunchy sexual sobadit'sgood strippers
194,Smoke,1995,comedy drama newyorkcity ensemblecast multiplestorylines
195,Something to Talk About,1995,comedy drama romance 
196,Species,1995,horror sci-fi nudity(topless-notable) nudity(topless) alien aliens
197,"Stars Fell on Henrietta, The",1995,drama 
198,Strange Days,1995,action crime drama mystery sci-fi thriller angelabassett jamescameron juliettelewis nudity(topless) ralphfiennes sciencefiction corruption cyberpunk dark femalenudity future futuristic memory mindfuck police policecorruption rape sci-fi strange virtualreality
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,drama musical romance french bittersweet musical notablesoundtrack
200,"Tie That Binds, The",1995,thriller 
201,Three Wishes,1995,drama fantasy 
202,Total Eclipse,1995,drama romance 
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,comedy dragqueens homophobia queer roadtrip
204,Under Siege 2: Dark Territory,1995,action action
205,Unstrung Heroes,1995,comedy drama 
206,Unzipped,1995,documentary 
207,"Walk in the Clouds, A",1995,drama romance 
208,Waterworld,1995,action adventure sci-fi kevincostner adventure apocalypse darkhero dystopia ocean post-apocalyptic steampunk stupid survival
209,White Man's Burden,1995,drama 
210,Wild Bill,1995,western 
211,"Browning Version, The",1994,drama 
212,Bushwhacked,1995,adventure comedy crime mystery 
213,Burnt by the Sun (Utomlyonnye solntsem),1994,drama 
214,Before the Rain (Pred dozhdot),1994,drama war 
215,Before Sunrise,1995,drama romance austria juliedelpy richardlinklater vienna bittersweet conversation dialogue dialoguedriven ethanhawke generationx intelligent literate lovestory minimalist philosophical philosophy poignant quirky reflective romance romantic thought-provoking touching trains wistful witty
216,Billy Madison,1995,comedy adamsandler school stupid
217,"Babysitter, The",1995,drama thriller 
218,Boys on the Side,1995,comedy drama unlikelyfriendships women
219,"Cure, The",1995,drama 
220,Castle Freak,1995,horror 
222,Circle of Friends,1995,drama romance 
223,Clerks,1994,comedy directorialdebut kevinsmith badacting blackandwhite conveniencestore crudehumor cynical dialoguedriven funny gooddialogue greatdialogue hilarious independentfilm irreverent jayandsilentbob lowbudget minimalist newjersey quirky slackers surreal viewaskew witty
224,Don Juan DeMarco,1995,comedy drama romance johnnydepp fantasy mentalillness romance
225,Disclosure,1994,drama thriller michaelcrichton
226,Dream Man,1995,thriller 
227,Drop Zone,1994,action thriller 
228,Destiny Turns on the Radio,1995,comedy 
229,Death and the Maiden,1994,drama thriller 
230,Dolores Claiborne,1995,drama thriller 
231,Dumb & Dumber (Dumb and Dumber),1994,adventure comedy buddymovie jeffdaniels jimcarrey comedy dumb goofy hilarious jimcarrey protagonistisanidiot quirky roadtrip silly slapstick stupid stupidity toilethumor veryfunny
232,Eat Drink Man Woman (Yin shi nan nu),1994,comedy drama romance anglee aging cooking food food/cooking relationships
233,Exotica,1994,drama 
234,Exit to Eden,1994,comedy 
235,Ed Wood,1994,comedy drama billmurray biography biopic johnnydepp martinlandau oscar(bestsupportingactor) sarahjessicaparker timburton blackandwhite crossdressing filmnoir moviebusiness quirky truestory witty
236,French Kiss,1995,action comedy romance romantic
237,Forget Paris,1995,comedy romance 
238,Far From Home: The Adventures of Yellow Dog,1995,adventure children 
239,"Goofy Movie, A",1995,animation children comedy romance 
240,Hideaway,1995,thriller 
241,Fluke,1995,children drama 
242,Farinelli: il castrato,1994,drama musical opera
243,Gordy,1995,children comedy fantasy 
244,Gumby: The Movie,1995,animation children 
245,The Glass Shield,1994,crime drama 
246,Hoop Dreams,1994,documentary basketball documentary sports
247,Heavenly Creatures,1994,crime drama katewinslet newzealand peterjackson basedonatruestory disturbing lesbian stylized surreal surrealism visceral
248,Houseguest,1994,comedy 
249,Immortal Beloved,1994,drama romance 
250,Heavyweights (Heavy Weights),1995,children comedy 
251,"Hunted, The",1995,action 
252,I.Q.,1994,comedy romance 
253,Interview with the Vampire: The Vampire Chronicles,1994,drama horror antoniobanderas bradpitt kirstendunst neworleans nudity(fullfrontal) paris tomcruise adaptedfrom:book annerice atmospheric basedonabook bradpitt cultclassic drama fantasy gothic horror tomcruise vampire vampires
254,Jefferson in Paris,1995,drama 
255,"Jerky Boys, The",1995,comedy 
256,Junior,1994,comedy sci-fi arnoldschwarzenegger arnold pregnantman
257,Just Cause,1995,mystery thriller 
258,"Kid in King Arthur's Court, A",1995,adventure children comedy fantasy romance 
259,Kiss of Death,1995,crime drama thriller 
260,Star Wars: Episode IV - A New Hope,1977,"action adventure sci-fi 1970s 70s afunintroductiontotheepicfilmserieswhichwillkeepyouontheedgeofyourseatduringthegoodvsevilbattles.fantasticspecialeffects,incrediblecharactersandfuturisticlandscapes. action actioncomedy adventure akirakurosawa alecguinness badacting boring carriefisher cheesyspaceopera,classic classic cool cult epic epic everynerdshouldhaveseenmorethanonce galaxy georgelucas harrisonford innovative jamesearljones johnwilliams markhamill notmything oscar(besteffects-visualeffects) overrated robotsandandroids spacetravel sci-fi sciencefiction space starwars action actionadventure action,scifi adventure aliens amazing atmospheric awesome awesomesoundtrack bestmovieever birthofgreatscifiideas blockbuster boring c3po classic classicadventure classicsci-fi comedy comingofage cosmos cult cultclassic cultfilm darthvader deathstar deepuniverse drama entertaining epic epicadventure exciting fairytale family fantastic fantasy fantasyaction farfuture father-sonrelationship fiction franchise fun funny future futurefantasy futuristic galactic geeky goodacting goodcharacters goodforkids goodsciencefiction goodsciencefictionaltechnology goodstory goodversusevil goodvsevil greatsoundtrack greatstory greatvisualeffects hansolo hero hero'sjourney heroicjourney imaginaryworld,characters,story,philosophical imaginative imdbtop250 incest inspiring interesting jedi josephcampbell'sstudyofmythologyinfluenced legendary lightsabers lukeskywalker masterpiece mustsee mythology nerdy obiwankenobi old oldfxquality oldmovie oldiebutgoodie oldschool originalplot outdated practicaleffects quotable robots romance saga scifi sci-fi sci-fi,space sciencefantasy sciencefiction scifi scificult sequel series sf,sciencefiction soundtrack space spaceaction spaceadventure spacecombat spaceepic spaceepic,sciencefiction,hero'sjourney spaceopera spacetravel spacewestern spaceships specialeffects starwars starshippilots starwars stylized supernaturalpowers swordfight theclassicscifimovie.mustsee. theforce thisisthearchetypal'goodsci-fiaction'movie.itsimplydoesn'tgetbetterthanthis. toolong trilogy underdogstory universe war"
261,Little Women,1994,drama basedonabook
262,"Little Princess, A",1995,children drama boardingschool imagination
263,Ladybird Ladybird,1994,drama 
264,"Enfer, L'",1994,drama 
265,Like Water for Chocolate (Como agua para chocolate),1992,drama fantasy romance bittersweet magic magicrealism
266,Legends of the Fall,1994,drama romance war western anthonyhopkins bradpitt romance emotional
267,Major Payne,1995,comedy comedy
268,Little Odessa,1994,crime drama 
269,My Crazy Life (Mi vida loca),1993,drama 
270,Love Affair,1994,drama romance 
271,Losing Isaiah,1995,drama 
272,"Madness of King George, The",1994,comedy drama biopic revolution
273,Mary Shelley's Frankenstein (Frankenstein),1994,drama horror sci-fi 
274,Man of the House,1995,comedy 
275,Mixed Nuts,1994,comedy 
276,Milk Money,1994,comedy romance 
277,Miracle on 34th Street,1994,drama christmas
278,Miami Rhapsody,1995,comedy 
279,My Family,1995,drama 
280,Murder in the First,1995,drama thriller 
281,Nobody's Fool,1994,comedy drama romance 
282,Nell,1994,drama jodiefoster liamneeson natasharichardson
283,New Jersey Drive,1995,crime drama 
284,New York Cop (Nyû Yôku no koppu),1993,action crime 
285,Beyond Bedlam,1993,drama horror 
286,Nemesis 2: Nebula,1995,action sci-fi thriller 
287,Nina Takes a Lover,1994,comedy romance 
288,Natural Born Killers,1994,action crime thriller nativeamericans robertdowneyjr. woodyharrelson brutal brutality controversial darkcomedy hallucinatory love mindfuck paranoid prison psychedelic roadtrip satire serialkiller socialcommentary stylized stylizedviolence ultra-violence violence violent visceral
289,Only You,1994,comedy romance 
290,Once Were Warriors,1994,crime drama abuse alcoholism brutality maori rape strongwomen
292,Outbreak,1995,action drama sci-fi thriller disease epidemic
293,Léon: The Professional (a.k.a. The Professional) (Léon),1994,action crime drama thriller action french garyoldman guns jeanreno lolitatheme lucbesson natalieportman assassin assassin-in-training assassination assassins awkwardromance beautiful complexrelationship corruption creepy crime darkhero disturbing drama easilyconfusedwithothermovie(s)(title) friendship greatacting guns hitmen hitman humorous imdbtop250 loneliness lovestory organizedcrime police policecorruption quirky revenge rewatch sniper tense touching unique
294,"Perez Family, The",1995,comedy romance 
295,"Pyromaniac's Love Story, A",1995,comedy romance 
296,Pulp Fiction,1994,comedy crime drama thriller 1990s blackcomedy brucewillis christopherwalken harveykeitel highlyquotable johntravolta mafia oscarnominee:bestpicture quentintarantino quotable samuell.jackson stevebuscemi tarantino umathurman achronological action amazingdialogues assassin atmospheric badass badlanguage blackcomedy blackhumor blood bloodsplatters bloody brucewillis brutality characterdevelopment characters classic classicmovie comedy conversation cool crime cult cultclassic cultfilm dancing dark darkcomedy darkhumor dialogue disjointedtimeline disturbing drama drugs ensemblecast entirelydialogue episodic exciting fastpaced fast-paced foullanguage fun funny gangster gangsters genius gooddialogue goodmusic gore greatacting greatdialogue greatsoundtrack gritty guns heroin highlyquotable hitmen homosexuality iconic imdbtop250 innovative intellectual intelligent intense interesting intertwiningstorylines ironic irony johntravolta killer-as-protagonist mafia masterpiece motherfucker multiplestories multiplestorylines neo-noir noir non-linear nonlinear nonlinearnarrative nonlineartimeline notablesoundtrack organizedcrime original originalplot overrated philosophical popculturereferences pulp quentintarantino quirky quotable r:disturbingviolentcontentincludingrape r:stronglanguage r:violence random rape retro royalwithcheese samuell.jackson sarcasm satire sexy smartwriting sophisticated soundtrack storytelling stylish stylized suspense tarantino thought-provoking thriller umathurman unique unpredictable unusual veryfunny violence violent visceral witty
297,Panther,1995,drama 
298,Pushing Hands (Tui shou),1992,drama 
299,Priest,1994,drama catholicism gay queer religion
300,Quiz Show,1994,drama basedonatruestory corruption intelligent television
301,Picture Bride (Bijo photo),1994,drama romance 
302,"Queen Margot (Reine Margot, La)",1994,drama romance 
303,"Quick and the Dead, The",1995,action thriller western genehackman leonardodicaprio russellcrowe samraimi sharonstone western
304,Roommates,1995,comedy drama 
305,Ready to Wear (Pret-A-Porter),1994,comedy 
306,Three Colors: Red (Trois couleurs: Rouge),1994,drama coincidences
927,"Women, The",1939,comedy entirelydialogue
307,Three Colors: Blue (Trois couleurs: Bleu),1993,drama juliettebinoche atmospheric meditative
308,Three Colors: White (Trzy kolory: Bialy),1994,comedy drama threecolorstrilogy
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",1994,drama 
310,Rent-a-Kid,1995,comedy 
311,Relative Fear,1994,horror thriller 
312,Stuart Saves His Family,1995,comedy 
313,"Swan Princess, The",1994,animation children 
314,"Secret of Roan Inish, The",1994,children drama fantasy mystery 
315,"Specialist, The",1994,action drama thriller 
316,Stargate,1994,action adventure sci-fi egypt egyptianmythology jamesspader kurtrussell stargate action alientechnology aliens archaeology guiltypleasure military mythology pyramids scifi sci-fi sciencefiction smart space timetravel wormhole
317,"Santa Clause, The",1994,comedy drama fantasy christmas santaclaus timallen familymovie fantasy funny holiday whinykid
318,"Shawshank Redemption, The",1994,crime drama 1940s frankdarabont morganfreeman oscarnominee:bestpicture oscarnominee:bestpicture1994 stephenking timrobbins adaptedfrom:book atmospheric awesome basedonabook basedonbook classic clever corruption crime determination drama emotional endurance escape escapefromprison excellentscript existentialism feel-good freedom friends friendship genius goodacting goodstory greatacting greatactor greatending greatperformances greatsoundtrack gripping heartwarming hope imdbtop250 inspirational inspiring intelligent jail jailbreak jailbreak justice masterpiece messageofhope moralambiguity morality morganfreeman motivation mustsee mystery narrated oscar(bestpicture) outsmarted overcomingadversiry overrated patience perseverance plottwist powerofbelief powerfulending prison prisonbreak prisondrama prisonescape psychology rape realism redemption reflective revenge seenmorethanonce sentimental sexualviolence sexuality slow smart spiritual stephenking suicide surpriseending survival thought-provoking timrobbins touching touchingstory twistending uplifting violence wrongfulimprisonment
319,Shallow Grave,1994,comedy drama thriller ewanmcgregor atmospheric darkcomedy disturbing macabre
320,Suture,1993,film-noir thriller 
321,Strawberry and Chocolate (Fresa y chocolate),1993,drama 
322,Swimming with Sharks,1995,comedy drama revenge
324,"Sum of Us, The",1994,comedy drama 
325,National Lampoon's Senior Trip,1995,comedy 
326,To Live (Huozhe),1994,drama classissues poignant politics
327,Tank Girl,1995,action comedy sci-fi loripetty malcolmmcdowell postapocalyptic basedonacomic desert mutants post-apocalyptic punk stylized
328,Tales from the Crypt Presents: Demon Knight,1995,horror thriller 
329,Star Trek: Generations,1994,adventure drama sci-fi basedonatvshow patrickstewart sci-fi startrek williamshatner space
330,Tales from the Hood,1995,action crime horror 
331,Tom & Viv,1994,drama 
332,Village of the Damned,1995,horror sci-fi 
333,Tommy Boy,1995,comedy chrisfarley davidspade quotable
334,Vanya on 42nd Street,1994,drama 
335,Underneath,1995,mystery thriller 
336,"Walking Dead, The",1995,drama war 
337,What's Eating Gilbert Grape,1993,drama johnnydepp leonardodicaprio bittersweet brother-brotherrelationship brothers comingofage depressing disability dysfunctionalfamily mentalillness obesity quirky siblings smalltown whimsical
338,Virtuosity,1995,action sci-fi thriller 
339,While You Were Sleeping,1995,comedy romance bechdeltest:fail billpullman romance sandrabullock chemistrybetweenactors chickflick coma feelgoodmovie mistakenidentity romanticcomedy
340,"War, The",1994,adventure drama war 
341,Double Happiness,1994,drama 
342,Muriel's Wedding,1994,comedy abba australia australian bittersweet comedy friendship quirky
343,"Baby-Sitters Club, The",1995,children 
344,Ace Ventura: Pet Detective,1994,comedy 1990s action dumb gross-out jimcarrey jimcarreybeingjimcarrey stupidashell comedy goofy hilarious sexjokes sillyfun verydumb veryfunny
345,"Adventures of Priscilla, Queen of the Desert, The",1994,comedy drama australia glbt crossdressing dragqueens gay genderidentity homosexuality lgbt musical queer roadmovie roadtrip transgender transvestites
346,Backbeat,1993,drama musical musicians
347,Bitter Moon,1992,drama film-noir romance bdsm romanpolanski disturbing erotic
348,Bullets Over Broadway,1994,comedy 
349,Clear and Present Danger,1994,action crime drama thriller cia harrisonford tomclancy cia conspiracy jackryan
