movie_id,bag_of_words
47,mystery thriller bradpitt christianity davidfincher gwynethpaltrow kevinspacey morganfreeman psychologicaldrama atmospheric biblical bradpitt crime dark detective disturbing drama gore greatacting greatending greed grim gruesome horror imdbtop250 investigation morganfreeman mystery neo-noir philosophical police powerfulending psychological psychologicalthriller psychology religion serialkiller shocking sins surpriseending thriller twistending twists&turns violence violent
48,animation children drama musical romance disney animation romance strongfemalelead
49,drama romance 
50,crime mystery thriller beniciodeltoro bryansinger crime dark gabrielbyrne kevinspacey newyorkcity oscar(bestsupportingactor) oscarwinner petepostlethwaite caper classic clever complicated conmen conspiracy crime ensemblecast excellentscript flashbacks funny gooddialogs greatacting greatending heist imdbtop250 mindfuck mystery nonlinearstoryline organizedcrime overrated plottwist predictable short-termmemoryloss storytelling surpriseending suspense thriller tricky twistending twists&turns unreliablenarrators violence
51,action drama thriller 
52,comedy drama romance woodyallen
53,adventure drama 
54,children comedy 
55,drama 
56,adventure children comedy fantasy 
57,drama 
58,comedy drama romance italianbittersweetromance poetry poets
59,drama mystery 
60,adventure children fantasy 
61,drama thriller 
62,drama feel-good highschool inspirational music
63,comedy crime wayansbrothers
64,comedy romance 
65,comedy 
66,action sci-fi thriller 
67,drama 
68,comedy romance 
69,comedy icecube
70,action comedy horror thriller georgeclooney harveykeitel nudity(topless-brief) quentintarantino robertrodriguez salmahayek sexualizedviolence tarantino brothers campy cultclassic cultfilm gore horror hostage intense mexico plottwist sobadit'sgood splatter strippers twistending vampire vampires violence
71,action 
72,comedy drama noahbaumbach
73,drama war 
74,drama romance 
75,comedy drama 
76,action sci-fi thriller philipk.dick artificialintelligence horror postapocalyptic sci-fi
77,documentary 
78,action crime drama thriller 
79,drama thriller 
80,children drama 
81,crime drama romance 
82,comedy drama strongwoman
83,drama romance 
84,comedy drama 
85,drama romance 
86,action adventure drama 
87,children comedy 
88,comedy 
89,action thriller johnnydepp
90,drama 
92,drama horror thriller 
93,comedy horror romance 
94,comedy drama romance natalieportman umathurman
95,action adventure thriller johntravolta military nuclearbomb stealthaircraft
96,comedy drama 
97,crime drama angry blackandwhite bleak confrontational cynical disturbing french ghetto gritty paris racism realistic socialcommentary
98,action thriller 
99,documentary 
100,drama thriller 
614,drama thriller 
101,adventure comedy crime romance wesanderson off-beatcomedy quirky
102,comedy 
103,mystery sci-fi thriller 
104,comedy adamsandler bobbarker comedy golf sports
105,drama romance merylstreep affair
106,comedy drama 
107,adventure children comedy musical timcurry muppets pirates treasure
108,documentary 
109,comedy drama thriller 
110,action drama war biography history medieval melgibson nudity(topless) oscar(bestcinematography) oscar(bestdirecting) oscar(bestpicture) scotland action basedonatruestory beautifulscenery british classic drama england epic freedom historical historicallyinaccurate imdbtop250 independence inspirational long medieval melgibson overrated revenge revolution scotland scottishindependence swordfight violent war
111,crime drama thriller classic cybillshepherd goldenpalm harveykeitel jodiefoster martinscorsese newyorkcity robertdeniro alienation anti-hero assassination atmospheric boring classic cultfilm dark disturbing drugdealer forceful grim ideology illegalprostitution imdbtop250 insanity loneliness loner masterpiece mentalillness neo-noir overrated paranoid prostitution psychology psychopath psychopaths robertdeniro serialkiller socialcommentary vigilante vigilantism visceral
112,action adventure comedy crime jackiechan fightscenes kungfu martialarts
113,drama mystery 
114,drama 
115,comedy 
116,documentary holocaust truestory
117,crime drama 
118,comedy romance 
119,comedy 
120,adventure comedy drama 
121,drama childabuse
122,comedy romance 
123,drama mystery romance criterion hongkong dreamlike goodmusic loneliness lyrical melancholy reflective stylized
124,drama 
125,comedy 
126,adventure children fantasy 
127,drama 
128,documentary 
129,comedy romance 
130,drama 
131,drama romance 
132,thriller 
133,comedy drama 
134,documentary 
135,comedy submarine
136,documentary 
137,documentary 
138,drama 
139,action drama 
140,drama romance 
141,comedy gaystereotypes genehackman robinwilliams comedy crossdressing dragqueens gay queer remake
142,drama 
143,drama 
144,comedy 
145,action comedy crime drama thriller michaelbay willsmith action
146,adventure children 
147,drama leonardodicaprio markwahlberg newyorkcity addiction basedonabook basedonatruestory drugs escape heroin intense truestory
148,drama 
149,crime drama thriller 
150,adventure drama imax garysinise history kevinbacon nasa oscarnominee:bestpicture tomhanks astronauts basedonabook basedonatruestory catastrophe disaster drama dramatic engineering historical moon space spaceprogram stranded suspense tense truestory
151,action drama romance war 18thcentury scotland highlands swordfight
152,drama horror 
153,action adventure comedy crime batman dccomics jimcarrey joelschumacher nicolekidman tommyleejones valkilmer comicbook design franchise rubbernipples sequel super-hero superhero
154,drama 
155,adventure drama war 
156,comedy drama 
157,comedy war politics
158,adventure children christinaricci family ghost ghosts
159,crime drama mystery 
160,action adventure mystery sci-fi 
161,drama thriller war denzelwashington genehackman mutiny nuclear submarine tense war
162,documentary artistmind documentary
163,action romance western antoniobanderas robertrodriguez salmahayek stevebuscemi action organizedcrime romance violence
164,crime film-noir mystery thriller 
165,action crime thriller brucewillis jeremyirons newyorkcity samuell.jackson action actionpacked alwayswatchitwhenit'sontv brucewillis heist lonehero plotpoint:solvingriddles/puzzles predictable terrorism thriller violent
166,comedy crime drama 
167,drama 
168,action drama romance seanconnery
169,adventure children drama family
170,action adventure crime thriller angelinajolie awesomesoundtrack campy cheesy computers cultfilm cyberpunk geek geeks hacker hackers hacking highschool inaccurate internet videogames
171,comedy drama gay
172,action sci-fi thriller henryrollins keanureeves sci-fi williamgibson cyberpunk dystopia future futuristic hackers memory technology
173,action crime sci-fi robschneider sylvesterstallone cheesylines comicbook dystopia future futuristic police policecorruption sci-fi
174,comedy 
175,drama aids newyorkcity nudity(fullfrontal) authentic controversial drugs indecent teen teenagers youthgonewild
176,comedy stevebuscemi indie meta-indie
177,horror 
178,comedy drama 
179,drama romance 
180,comedy romance 1990s jayandsilentbob kevinsmith crudehumor gooddialogue viewaskew
181,action children 
182,drama romance 
183,comedy horror thriller 
184,drama 
185,action crime thriller sandrabullock computers cyber-intimidation hackers hacking internet simplistic unrealistic
186,comedy romance robinwilliams hughgrant
187,comedy 
188,fantasy horror mystery christianity christopherwalken religion
189,comedy fantasy 
190,thriller 
191,drama romance 
192,documentary 
193,drama lasvegas nudity(fullfrontal) boobs campy dull overacting raunchy sexual sobadit'sgood strippers
194,comedy drama newyorkcity ensemblecast multiplestorylines
195,comedy drama romance 
196,horror sci-fi nudity(topless-notable) nudity(topless) alien aliens
197,drama 
198,action crime drama mystery sci-fi thriller angelabassett jamescameron juliettelewis nudity(topless) ralphfiennes sciencefiction corruption cyberpunk dark femalenudity future futuristic memory mindfuck police policecorruption rape sci-fi strange virtualreality
199,drama musical romance french bittersweet musical notablesoundtrack
200,thriller 
201,drama fantasy 
202,drama romance 
203,comedy dragqueens homophobia queer roadtrip
204,action action
205,comedy drama 
206,documentary 
207,drama romance 
208,action adventure sci-fi kevincostner adventure apocalypse darkhero dystopia ocean post-apocalyptic steampunk stupid survival
209,drama 
210,western 
211,drama 
212,adventure comedy crime mystery 
213,drama 
214,drama war 
215,drama romance austria juliedelpy richardlinklater vienna bittersweet conversation dialogue dialoguedriven ethanhawke generationx intelligent literate lovestory minimalist philosophical philosophy poignant quirky reflective romance romantic thought-provoking touching trains wistful witty
216,comedy adamsandler school stupid
217,drama thriller 
218,comedy drama unlikelyfriendships women
219,drama 
220,horror 
222,drama romance 
223,comedy directorialdebut kevinsmith badacting blackandwhite conveniencestore crudehumor cynical dialoguedriven funny gooddialogue greatdialogue hilarious independentfilm irreverent jayandsilentbob lowbudget minimalist newjersey quirky slackers surreal viewaskew witty
224,comedy drama romance johnnydepp fantasy mentalillness romance
225,drama thriller michaelcrichton
226,thriller 
227,action thriller 
228,comedy 
229,drama thriller 
230,drama thriller 
231,adventure comedy buddymovie jeffdaniels jimcarrey comedy dumb goofy hilarious jimcarrey protagonistisanidiot quirky roadtrip silly slapstick stupid stupidity toilethumor veryfunny
232,comedy drama romance anglee aging cooking food food/cooking relationships
233,drama 
234,comedy 
235,comedy drama billmurray biography biopic johnnydepp martinlandau oscar(bestsupportingactor) sarahjessicaparker timburton blackandwhite crossdressing filmnoir moviebusiness quirky truestory witty
236,action comedy romance romantic
237,comedy romance 
238,adventure children 
239,animation children comedy romance 
240,thriller 
241,children drama 
242,drama musical opera
243,children comedy fantasy 
244,animation children 
245,crime drama 
246,documentary basketball documentary sports
247,crime drama katewinslet newzealand peterjackson basedonatruestory disturbing lesbian stylized surreal surrealism visceral
248,comedy 
249,drama romance 
250,children comedy 
251,action 
252,comedy romance 
253,drama horror antoniobanderas bradpitt kirstendunst neworleans nudity(fullfrontal) paris tomcruise adaptedfrom:book annerice atmospheric basedonabook bradpitt cultclassic drama fantasy gothic horror tomcruise vampire vampires
254,drama 
255,comedy 
256,comedy sci-fi arnoldschwarzenegger arnold pregnantman
257,mystery thriller 
258,adventure children comedy fantasy romance 
259,crime drama thriller 
260,"action adventure sci-fi 1970s 70s afunintroductiontotheepicfilmserieswhichwillkeepyouontheedgeofyourseatduringthegoodvsevilbattles.fantasticspecialeffects,incrediblecharactersandfuturisticlandscapes. action actioncomedy adventure akirakurosawa alecguinness badacting boring carriefisher cheesyspaceopera,classic classic cool cult epic epic everynerdshouldhaveseenmorethanonce galaxy georgelucas harrisonford innovative jamesearljones johnwilliams markhamill notmything oscar(besteffects-visualeffects) overrated robotsandandroids spacetravel sci-fi sciencefiction space starwars action actionadventure action,scifi adventure aliens amazing atmospheric awesome awesomesoundtrack bestmovieever birthofgreatscifiideas blockbuster boring c3po classic classicadventure classicsci-fi comedy comingofage cosmos cult cultclassic cultfilm darthvader deathstar deepuniverse drama entertaining epic epicadventure exciting fairytale family fantastic fantasy fantasyaction farfuture father-sonrelationship fiction franchise fun funny future futurefantasy futuristic galactic geeky goodacting goodcharacters goodforkids goodsciencefiction goodsciencefictionaltechnology goodstory goodversusevil goodvsevil greatsoundtrack greatstory greatvisualeffects hansolo hero hero'sjourney heroicjourney imaginaryworld,characters,story,philosophical imaginative imdbtop250 incest inspiring interesting jedi josephcampbell'sstudyofmythologyinfluenced legendary lightsabers lukeskywalker masterpiece mustsee mythology nerdy obiwankenobi old oldfxquality oldmovie oldiebutgoodie oldschool originalplot outdated practicaleffects quotable robots romance saga scifi sci-fi sci-fi,space sciencefantasy sciencefiction scifi scificult sequel series sf,sciencefiction soundtrack space spaceaction spaceadventure spacecombat spaceepic spaceepic,sciencefiction,hero'sjourney spaceopera spacetravel spacewestern spaceships specialeffects starwars starshippilots starwars stylized supernaturalpowers swordfight theclassicscifimovie.mustsee. theforce thisisthearchetypal'goodsci-fiaction'movie.itsimplydoesn'tgetbetterthanthis. toolong trilogy underdogstory universe war"
261,drama basedonabook
262,children drama boardingschool imagination
263,drama 
264,drama 
265,drama fantasy romance bittersweet magic magicrealism
266,drama romance war western anthonyhopkins bradpitt romance emotional
267,comedy comedy
268,crime drama 
269,drama 
270,drama romance 
271,drama 
272,comedy drama biopic revolution
273,drama horror sci-fi 
274,comedy 
275,comedy 
276,comedy romance 
277,drama christmas
278,comedy 
279,drama 
280,drama thriller 
281,comedy drama romance 
282,drama jodiefoster liamneeson natasharichardson
283,crime drama 
284,action crime 
285,drama horror 
286,action sci-fi thriller 
287,comedy romance 
288,action crime thriller nativeamericans robertdowneyjr. woodyharrelson brutal brutality controversial darkcomedy hallucinatory love mindfuck paranoid prison psychedelic roadtrip satire serialkiller socialcommentary stylized stylizedviolence ultra-violence violence violent visceral
289,comedy romance 
290,crime drama abuse alcoholism brutality maori rape strongwomen
292,action drama sci-fi thriller disease epidemic
293,action crime drama thriller action french garyoldman guns jeanreno lolitatheme lucbesson natalieportman assassin assassin-in-training assassination assassins awkwardromance beautiful complexrelationship corruption creepy crime darkhero disturbing drama easilyconfusedwithothermovie(s)(title) friendship greatacting guns hitmen hitman humorous imdbtop250 loneliness lovestory organizedcrime police policecorruption quirky revenge rewatch sniper tense touching unique
294,comedy romance 
295,comedy romance 
296,comedy crime drama thriller 1990s blackcomedy brucewillis christopherwalken harveykeitel highlyquotable johntravolta mafia oscarnominee:bestpicture quentintarantino quotable samuell.jackson stevebuscemi tarantino umathurman achronological action amazingdialogues assassin atmospheric badass badlanguage blackcomedy blackhumor blood bloodsplatters bloody brucewillis brutality characterdevelopment characters classic classicmovie comedy conversation cool crime cult cultclassic cultfilm dancing dark darkcomedy darkhumor dialogue disjointedtimeline disturbing drama drugs ensemblecast entirelydialogue episodic exciting fastpaced fast-paced foullanguage fun funny gangster gangsters genius gooddialogue goodmusic gore greatacting greatdialogue greatsoundtrack gritty guns heroin highlyquotable hitmen homosexuality iconic imdbtop250 innovative intellectual intelligent intense interesting intertwiningstorylines ironic irony johntravolta killer-as-protagonist mafia masterpiece motherfucker multiplestories multiplestorylines neo-noir noir non-linear nonlinear nonlinearnarrative nonlineartimeline notablesoundtrack organizedcrime original originalplot overrated philosophical popculturereferences pulp quentintarantino quirky quotable r:disturbingviolentcontentincludingrape r:stronglanguage r:violence random rape retro royalwithcheese samuell.jackson sarcasm satire sexy smartwriting sophisticated soundtrack storytelling stylish stylized suspense tarantino thought-provoking thriller umathurman unique unpredictable unusual veryfunny violence violent visceral witty
297,drama 
298,drama 
299,drama catholicism gay queer religion
300,drama basedonatruestory corruption intelligent television
301,drama romance 
302,drama romance 
303,action thriller western genehackman leonardodicaprio russellcrowe samraimi sharonstone western
304,comedy drama 
305,comedy 
306,drama coincidences
927,comedy entirelydialogue
307,drama juliettebinoche atmospheric meditative
308,comedy drama threecolorstrilogy
309,drama 
310,comedy 
311,horror thriller 
312,comedy 
313,animation children 
314,children drama fantasy mystery 
315,action drama thriller 
316,action adventure sci-fi egypt egyptianmythology jamesspader kurtrussell stargate action alientechnology aliens archaeology guiltypleasure military mythology pyramids scifi sci-fi sciencefiction smart space timetravel wormhole
317,comedy drama fantasy christmas santaclaus timallen familymovie fantasy funny holiday whinykid
318,crime drama 1940s frankdarabont morganfreeman oscarnominee:bestpicture oscarnominee:bestpicture1994 stephenking timrobbins adaptedfrom:book atmospheric awesome basedonabook basedonbook classic clever corruption crime determination drama emotional endurance escape escapefromprison excellentscript existentialism feel-good freedom friends friendship genius goodacting goodstory greatacting greatactor greatending greatperformances greatsoundtrack gripping heartwarming hope imdbtop250 inspirational inspiring intelligent jail jailbreak jailbreak justice masterpiece messageofhope moralambiguity morality morganfreeman motivation mustsee mystery narrated oscar(bestpicture) outsmarted overcomingadversiry overrated patience perseverance plottwist powerofbelief powerfulending prison prisonbreak prisondrama prisonescape psychology rape realism redemption reflective revenge seenmorethanonce sentimental sexualviolence sexuality slow smart spiritual stephenking suicide surpriseending survival thought-provoking timrobbins touching touchingstory twistending uplifting violence wrongfulimprisonment
319,comedy drama thriller ewanmcgregor atmospheric darkcomedy disturbing macabre
320,film-noir thriller 
321,drama 
322,comedy drama revenge
324,comedy drama 
325,comedy 
326,drama classissues poignant politics
327,action comedy sci-fi loripetty malcolmmcdowell postapocalyptic basedonacomic desert mutants post-apocalyptic punk stylized
328,horror thriller 
329,adventure drama sci-fi basedonatvshow patrickstewart sci-fi startrek williamshatner space
330,action crime horror 
331,drama 
332,horror sci-fi 
333,comedy chrisfarley davidspade quotable
334,drama 
335,mystery thriller 
336,drama war 
337,drama johnnydepp leonardodicaprio bittersweet brother-brotherrelationship brothers comingofage depressing disability dysfunctionalfamily mentalillness obesity quirky siblings smalltown whimsical
338,action sci-fi thriller 
339,comedy romance bechdeltest:fail billpullman romance sandrabullock chemistrybetweenactors chickflick coma feelgoodmovie mistakenidentity romanticcomedy
340,adventure drama war 
341,drama 
342,comedy abba australia australian bittersweet comedy friendship quirky
343,children 
344,comedy 1990s action dumb gross-out jimcarrey jimcarreybeingjimcarrey stupidashell comedy goofy hilarious sexjokes sillyfun verydumb veryfunny
345,comedy drama australia glbt crossdressing dragqueens gay genderidentity homosexuality lgbt musical queer roadmovie roadtrip transgender transvestites
346,drama musical musicians
347,drama film-noir romance bdsm romanpolanski disturbing erotic
348,comedy 
349,action crime drama thriller cia harrisonford tomclancy cia conspiracy jackryan
350,drama mystery thriller susansarandon
351,comedy drama romance 
352,comedy drama 
353,action crime fantasy thriller fantasy nudity(rear) bittersweet comicbook cultfilm darkhero dreamlike filmnoir gothic greatsoundtrack gritty halloween revenge rockandroll romance stylized vengeance vigilante
354,drama 
355,children comedy fantasy 
356,comedy drama romance war 1960s 1970s alabama americanhistory bechdeltest:fail funny oscar(bestactor) oscar(bestdirecting) oscar(besteffects-visualeffects) oscar(bestpicture) oscarwinner quotable robertzemeckis sexuality tomhanks vietnam vietnamwar adventure americandream americanhistory americana basedonabook biography bittersweet boring boxofchocolate chocolate classic comedy disability drama emotional epic family feelgoodmovie feel-good friendship funny goodacting goodmusic greatacting greatsoundtrack handicapped heartwarming historical historicalfiction history iconic innocence inspirational inspiring journey life lifestory love meaningoflife melodrama mentalillness modernclassic mustsee narrated nostalgia optimism oscarwinner overrated psychology purposeinlife quirky quotable robertzemeckis romance running sad sappy sentimental shrimp tomhanks touching underdog uplifting vietnamwar war whimsical
357,comedy romance british comedy hughgrant romance rowanatkinson chickflick funeral wedding
358,drama 
359,comedy drama romance 
360,action comedy 
361,comedy drama romance 
362,adventure children romance 
363,documentary 
364,adventure animation children drama musical imax 2danimation childhood children disney disneyanimatedfeature hanszimmer jeremyirons matthewbroderick oscar(bestmusic-originalscore) oscar(bestmusic-originalsong) rogerallers rowanatkinson whoopigoldberg africa animals animation classic comingofage father-sonrelationship fun inspirational lions musical seenmorethanonce soundtrack talkinganimals
365,drama 
366,drama horror mystery thriller robertenglund
367,action comedy crime fantasy camerondiaz jimcarrey jimcarreybeingjimcarrey cartoonish comedy comicbook funny goofy hilarious jimcarrey notfunny sexjokes superhero
368,adventure comedy western melgibson poker
369,drama 
370,action comedy comedy leslieneilsen leslienielsen hilarious parody
371,comedy drama 
372,comedy drama romance winonaryder ethanhawke
373,thriller neo-noir
374,children comedy 
375,drama 
376,action thriller 
377,action romance thriller action dennishopper keanureeves sandrabullock thriller action actionpacked bomb chase exciting explosions goodacting intense speed tense
378,comedy romance 
379,action sci-fi thriller timetravel
380,action adventure comedy romance thriller arnoldschwarzenegger elizadushku jamescameron jamieleecurtis action arnold comedy espionage funny quirky ridiculous shallowplot spies terrorism violence
381,drama romance 
382,drama horror romance thriller werewolf
383,western 
384,action crime drama 
385,drama 
386,drama 
387,action comedy 
388,drama 
389,drama romance war 
390,action crime drama campy hallucinatory
391,crime drama 
392,adventure animation 
393,action adventure fantasy jean-claudevandamme videogameadaptation
394,comedy 
395,drama fantasy romance 
396,drama 
397,horror 
398,documentary 
399,drama 
400,drama 
401,action thriller 
402,comedy 
403,comedy crime drama 
404,documentary 
405,action fantasy 
406,drama 
407,horror thriller johncarpenter lovecraftianmythology samneill lovecraftian
408,drama 
409,crime drama 
410,children comedy fantasy blackcomedy darkcomedy gothic quirky
411,comedy documentary 
412,drama 19thcentury edithwharton martinscorsese basedonabook costumedrama
413,comedy 
414,comedy 
415,comedy thriller 
416,western 
417,comedy romance 
418,drama 
419,comedy 
420,action comedy crime thriller 
421,adventure children drama 
422,thriller thriller
423,action thriller 
424,drama 
425,drama romance 
426,horror sci-fi thriller 
427,drama mystery romance thriller 
428,drama robertdeniro comingofage father-sonrelationship gangsters mafia newyork
429,comedy 
430,comedy drama 
431,crime drama alpacino briandepalma nudity(topless) seanpenn gangster gangsters mafia organizedcrime romance
432,adventure comedy western 
433,comedy short-termmemoryloss
434,action adventure thriller sylvesterstallone actionpacked mountainclimbing
435,comedy sci-fi danaykroyd aliens stupid
436,drama thriller 
437,comedy 
438,action comedy drama 
439,drama 
440,comedy romance kevinkline sigourneyweaver conspiracytheory politics
441,comedy 1970s criterion highschoollife highlyquotable matthewmcconaughey millajovovich richardlinklater bullying comingofage drugs ensemblecast greatsoundtrack highschool marijuana nostalgic quirky smalltown teen
442,action adventure sci-fi sandrabullock sylvesterstallone wesleysnipes action comedy dumbdystopia dystopia timetravel
443,adventure documentary 
444,comedy romance 
445,comedy 
446,drama romance china gongli gay
447,comedy romance 
448,drama 
449,comedy 
450,comedy drama 
451,drama mystery romance 
452,drama 
453,comedy romance 
454,drama thriller genehackman johngrisham tomcruise courtroom lawyers thriller
455,adventure children drama family
456,crime drama thriller 
457,thriller afi100(thrills) action chicago harrisonford oscar(bestsupportingactor) oscarnominee:bestpicture tommyleejones action adventure basedonatvshow chase crime fugitive murder paranoid policeinvestigation predictable prisonescape smartcharacters suspense tense thriller
458,drama western 
459,action adventure crime drama romance thriller 
460,comedy 
461,drama romance 
462,action adventure 
463,crime drama thriller 
464,action adventure crime thriller jean-claudevandamme
465,action drama war 
466,action comedy war charliesheen comedy parody
467,comedy 
468,comedy romance 
469,drama romance 
470,comedy 
471,comedy 1950s coenbrothers cheesy corruption quirky satirical whimsical witty
472,comedy drama 
473,comedy war 
474,action thriller clinteastwood johnmalkovich secretservice assassin tense
475,drama 1970s danielday-lewis ira ireland corruption courtroom father-sonrelationship lawyers prison terrorism truestory
476,comedy drama 
477,drama musical 
478,comedy crime drama 
479,action crime thriller 
480,action adventure sci-fi thriller dinosaurs jeffgoldblum johnwilliams lauradern michaelcrichton oscar(besteffects-visualeffects) richardattenborough samneill stevenspielberg suspense action adventure basedonabook children cloning dinosaur dinosaurs drama genetics horror island samuell.jackson scary scenic sci-fi science specialeffects stevenspielberg stylized suspense tense thriller violence
481,drama thriller juliettelewis serialkiller
482,crime drama thriller 
483,drama comingofage
484,adventure children 
485,action adventure comedy fantasy arnoldschwarzenegger arnold campy deconstruction parody
486,comedy 
487,comedy western 
488,drama romance 
489,comedy 
490,thriller 
491,drama 
492,comedy mystery woodyallen
493,action crime drama losangeles gangs
494,action adventure thriller 
495,drama non-simulatedsex
496,comedy drama romance thriller 
497,comedy romance denzelwashington emmathompson keanureeves shakespeare beautiful feelgoodmovie witty
498,drama romance 
499,comedy romance 
500,comedy drama comedy drama piercebrosnan robinwilliams sallyfield sanfrancisco crossdressing crossdressingmen divorce doublelife nanny
501,drama intellectual socialcommentary
502,action children romance martialarts
503,drama 
504,action drama sci-fi 
505,comedy 
506,drama fantasy romance tildaswinton genderidentity stylized
507,crime drama thriller clinteastwood kevincostner fatherfigure kidnapping roadmovie
508,drama aids denzelwashington oscar(bestactor) tomhanks courtroom dramatic gay greatacting homophobia homosexuality lgbt tomhanks
509,drama romance 19thcentury hollyhunter newzealand oscar(bestactress) oscar(bestsupportingactress) adultery atmospheric beautiful erotic greatacting intense lyrical melancholy sexuality
510,drama 
511,action drama 
512,horror sci-fi 
513,comedy mystery romance 
514,comedy holiday
515,drama romance anthonyhopkins emmathompson periodpiece romance
516,comedy drama 
517,action drama mystery 
518,comedy 
519,action crime drama sci-fi thriller franchise
520,comedy caryelwes gross-out melbrooks robinhood comedy parody spoof
521,crime thriller neo-noir noirthriller
522,action drama 
523,drama 
524,drama football inspirational
525,drama 
526,drama 
527,drama war benkingsley holocaust jewishholocaust liamneeson nazigermany nazis nudity(fullfrontal-brief) oscar(bestcinematography) oscar(bestdirecting) oscar(bestpicture) ralphfiennes stevenspielberg wwii worldwar2 worldwarii amazingphotography atmospheric basedonabook basedonatruestory basedonbook biography blackandwhite bleak classic depressing disturbing drama greatsoundtrack greatstory heartbreaking historical history holocaust humanemotion humanism imdbtop250 inspiring jews literaryadaptation long nudity real sexscenes sexuality thought-provoking touching truestory war worldwarii
528,comedy drama 
529,drama basedonatruestory chess father-sonrelationship genius prodigy
530,drama 
531,children drama england
532,comedy crime horror 
533,action adventure fantasy mystery 
534,drama romance c.s.lewis
535,drama losangeles darkcomedy multiplestorylines
536,drama 
537,drama notablenudity nudity(fullfrontal-notable)
538,drama thoughtprovoking
539,comedy drama romance billpullman comedy megryan newyorkcity romance tomhanks chickflick destiny father-sonrelationship predictable romanticcomedy singlefather
540,thriller sharonstone
541,action sci-fi thriller harrisonford losangeles nudity(topless) philipk.dick ridleyscott rutgerhauer vangelis action adaptedfrom:book androids artificialintelligence assassin atmospheric author:philipk.dick basedonabook classic cultfilm cyberpunk dark dreamlike dystopia dystopian existentialism fantasy filmnoir film-noir future futuristic genetics greatcinematography greatsoundtrack imdbtop250 melancholy memory mortality neo-noir philosophical robots sci-fi sci-ficlassic slow slowpaced soundtrack stylized visual visuallystunning
542,comedy drama romance 
543,comedy romance thriller 
544,action crime 
546,action adventure children comedy fantasy sci-fi videogame videogameadaptation
547,action adventure thriller 
548,action mystery thriller 
549,drama musical musicians
550,comedy romance 
551,animation children fantasy musical christmas dannyelfman dannyelfmanscore halloween henryselick timburton animation atmospheric beautiful classic claymation creepy cultfilm dark fantasy ghosts gothic greatsoundtrack halloween humorous johnnydepp musical stopmotion stylized surreal whimsical
552,action adventure comedy romance 
553,action drama western docholliday valkilmer western cowboys dialogue gunfight
554,crime drama thriller 
555,crime thriller bradpitt christianslater christopherwalken dennishopper garyoldman patriciaarquette quentintarantino samuell.jackson valkilmer action brutality darkcomedy dialogue ensemblecast homage romance shooting showdown tarantinoisgod violence violent
